Dia Semana;Data;Hora;Bloco;Programa;Estreia;Fonte;Obs
segunda-feira;01/08/2005;00:25;;As Três Irmãs;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;00:50;;D'Artacão E Os Três Moscãoteiros;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;08:06;Princesas Disney;A Pequena Sereia;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;08:28;Princesas Disney;Aladdin;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;08:55;;A Trupe do Pateta;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;09:20;;Timon e Pumba;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;10:05;;Brandy & Mr. Whiskers;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;10:30;;Dave, o Bárbaro;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;10:55;;Tarzan;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;11:20;;House of Mouse;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;11:45;;Kim Possible;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;12:10;;Sabrina Escola de Bruxas;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;12:35;;Lilo & Stitch;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;13:05;;Recreio;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;13:36;;Filmore;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;14:01;Raven Superstar;Raven;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;14:23;Raven Superstar;Raven;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;15:08;Maratoon Agora Escolhe!;Maratoon;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;16:35;;Sabrina;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;17:00;;House of Mouse;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;17:25;;Dave, o Bárbaro;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;18:00;;Brandy & Mr. Whiskers;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;18:25;;Art Attack;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;18:51;Super Kabunga;Lilo & Stitch;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;19:15;Super Kabunga;Kim Possible;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;19:40;Super Kabunga;American Dragon;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;20:05;Super Kabunga;Phil do Futuro;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;20:30;;Amiguinhos do Outro Mundo;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;21:50;Maratoon Agora Escolhe!;Maratoon;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;23:02;Mickey & Companhia Ilimitada;House of Mouse;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;23:23;Mickey & Companhia Ilimitada;Mickey e os seus amigos;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;23:30;Mickey & Companhia Ilimitada;House of Mouse;;Telecabo n.º 35 / Ago. 2005;
segunda-feira;01/08/2005;23:52;Mickey & Companhia Ilimitada;Mickey e os seus amigos;;Telecabo n.º 35 / Ago. 2005;
terça-feira;02/08/2005;08:06;Princesas Disney;A Pequena Sereia;;Telecabo n.º 35 / Ago. 2005;
terça-feira;02/08/2005;08:28;Princesas Disney;Aladdin;;Telecabo n.º 35 / Ago. 2005;
terça-feira;02/08/2005;08:55;;A Trupe do Pateta;;Telecabo n.º 35 / Ago. 2005;
terça-feira;02/08/2005;09:20;;Timon e Pumba;;Telecabo n.º 35 / Ago. 2005;
terça-feira;02/08/2005;10:05;;Brandy & Mr. Whiskers;;Telecabo n.º 35 / Ago. 2005;
terça-feira;02/08/2005;10:30;;Dave, o Bárbaro;;Telecabo n.º 35 / Ago. 2005;
